id,State,Abbreviation,Population
1,Alabama,AL,4903185
2,Alaska,AK,731545
3,Arizona,AZ,7278717
4,Arkansas,AR,3017825
5,California,CA,39512223
6,Colorado,CO,5758736
7,Connecticut,CT,3565287
8,Delaware,DE,973764
9,District of Columbia,DC,705749
10,Florida,FL,21477737
11,Georgia,GA,10617423
12,Hawaii,HI,1415872
13,Idaho,ID,1787065
14,Illinois,IL,12671821
15,Indiana,IN,6732219
16,Iowa,IA,3155070
17,Kansas,KS,2913314
18,Kentucky,KY,4467673
19,Louisiana,LA,4648794
20,Maine,ME,1344212
21,Montana,MT,1068778
22,Nebraska,NE,1934408
23,Nevada,NV,3080156
24,New Hampshire,NH,1359711
25,New Jersey,NJ,8882190
26,New Mexico,NM,2096829
27,New York,NY,19453561
28,North Carolina,NC,10488084
29,North Dakota,ND,762062
30,Ohio,OH,11689100
31,Oklahoma,OK,3956971
32,Oregon,OR,4217737
33,Maryland,MD,6045680
34,Massachusetts,MA,6949503
35,Michigan,MI,9986857
36,Minnesota,MN,5639632
37,Mississippi,MS,2976149
38,Missouri,MO,6137428
39,Pennsylvania,PA,12801989
40,Rhode Island,RI,1059361
41,South Carolina,SC,5148714
42,South Dakota,SD,884659
43,Tennessee,TN,6833174
44,Texas,TX,28995881
45,Utah,UT,3205958
46,Vermont,VT,623989
47,Virginia,VA,8535519
48,Washington,WA,7614893
49,West Virginia,WV,1792147
50,Wisconsin,WI,5822434
51,Wyoming,WY,578759
